m_row$$,awg_id,aufwandbedingung,sortier_nr,m_aufwand,m_aufwand_einheit,w_aufwand_von,w_aufwand_bis,w_aufwand_einheit
AAAxbuAAEAAAAQWAAG,00A475-00/00-001, ,1,5.0,LH,300.0,400.0,LH
AAAxbuAAEAAAAQWAAH,00A475-00/00-002, ,1,3.0,LH,300.0,400.0,LH
AAAxbuAAEAAAAQWAAI,00A475-00/00-003, ,1,5.0,LH,300.0,400.0,LH
AAAxbuAAEAAAAQWAAJ,00A475-00/00-004, ,1,3.0,LH,300.0,400.0,LH
AAAxbuAAEAAAAQWAAK,036218-00/00-001, ,1,1.0,LX,200.0,400.0,LH
AAAxbuAAEAAAAQWAAL,036218-00/00-002, ,1,1.5,LH,200.0,400.0,LH
AAAxbuAAEAAAAQWAAM,036218-00/00-003, ,1,1.5,LH,200.0,400.0,LH
AAAxbuAAEAAAAQWAAN,033775-00/00-001,BAW,1,2.0,LH,,400.0,LH
AAAxbuAAEAAAAQWAAO,033775-00/00-001,ES61,1,4.0,LH,,800.0,LH
AAAxbuAAEAAAAQWAAP,033775-00/00-001,ES71,1,6.0,LH,,1200.0,LH
AAAxbuAAEAAAAQWAAQ,033775-00/00-001,ES75,1,8.0,LH,,1600.0,LH
AAAxbuAAEAAAAQWAAR,00B170-00/00-001, ,1,2.0,LH,100.0,400.0,LH
AAAxbuAAEAAAAQWAAS,00B170-00/00-002, ,1,2.0,LH,100.0,1000.0,LH
AAAxbuAAEAAAAQWAAT,00B170-00/00-003, ,1,2.0,LH,1000.0,6000.0,LH
AAAxbuAAEAAAAQWAAU,00A996-00/00-001, ,1,1.5,LH,100.0,300.0,LH
AAAxbuAAEAAAAQWAAV,00A996-00/00-002, ,1,1.5,LH,100.0,300.0,LH
AAAxbuAAEAAAAQWAAW,00A996-00/00-003, ,1,1.5,LH,100.0,300.0,LH
AAAxbuAAEAAAAQWAAX,00A996-00/00-004, ,1,1.5,LH,100.0,300.0,LH
AAAxbuAAEAAAAQWAAY,00A996-00/00-005, ,1,1.5,LH,100.0,300.0,LH
AAAxbuAAEAAAAQWAAZ,00A996-00/00-006, ,1,1.5,LH,100.0,300.0,LH
AAAxbuAAEAAAAQWAAa,00A996-00/00-007, ,1,1.5,LH,100.0,300.0,LH
AAAxbuAAEAAAAQWAAb,00A996-00/00-008, ,1,1.5,LH,100.0,300.0,LH
AAAxbuAAEAAAAQWAAc,00A996-00/00-009, ,1,1.5,LH,100.0,300.0,LH
AAAxbuAAEAAAC92ABG,024138-60/00-014, ,1,3.0,LH,2000.0,2000.0,LH
AAAxbuAAEAAAC92ABH,024138-60/00-015, ,1,3.0,LH,2000.0,2000.0,LH
AAAxbuAAEAAAC92ABI,024138-60/00-016, ,1,3.0,LH,2000.0,2000.0,LH
AAAxbuAAEAAAC92ABJ,024138-60/00-017, ,1,3.0,LH,2000.0,2000.0,LH
AAAxbuAAEAAAC92ABK,024138-60/00-018, ,1,3.0,LH,2000.0,2000.0,LH
AAAxbuAAEAAAC92ABL,024138-60/00-019, ,1,3.0,LH,2000.0,2000.0,LH
AAAxbuAAEAAAC92ABM,024138-60/00-020, ,1,1.5,LH,1000.0,1000.0,LH
AAAxbuAAEAAAC92ABN,024138-60/00-021, ,1,1.5,LH,1000.0,1000.0,LH
AAAxbuAAEAAAC92ABO,024138-60/00-022, ,1,1.5,LH,1000.0,1000.0,LH
AAAxbuAAEAAAC92ABP,024138-60/00-023, ,1,0.9,LH,600.0,600.0,LH
AAAxbuAAEAAAC92ABQ,024138-60/00-027,BAW,1,6.0,CA,4.0,4.0,LA
AAAxbuAAEAAAC92ABR,024138-60/00-027,ES61,2,12.0,CA,8.0,8.0,LA
AAAxbuAAEAAAC92ABS,024138-60/00-028,ES71,1,18.0,CA,12.0,12.0,LA
AAAxbuAAEAAAC92ABT,024138-60/00-028,ES75,2,24.0,CA,16.0,16.0,LA
AAAxbuAAEAAAC92ABU,024138-60/00-029,ES75,2,24.0,CA,16.0,16.0,LA
AAAxbuAAEAAAC92ABV,007667-60/00-001, ,1,0.6,LH,200.0,400.0,LH
AAAxbuAAEAAAC92ABW,007667-61/00-001, ,1,0.6,LH,200.0,400.0,LH
AAAxbuAAEAAAC92ABX,007667-60/00-002, ,1,1.25,LH,200.0,400.0,LH
AAAxbuAAEAAAC92ABY,007667-61/00-002, ,1,1.25,LH,200.0,400.0,LH
