m_row$$,kennr,versuchsbez,zul_erstmalig_am,mittelname,formulierung_art,zul_ende,mittel_mit_geringem_risiko
AAAxdIAAEAAAA00AAA,042688-60,DET-11750-I-3-GE,2017-05-21T22:00:00Z,DEGESCH-STRIP,GE,2026-08-30T22:00:00Z,
AAAxdIAAEAAAA00AAB,005685-61,SYD-51010-W-0-EC,2018-12-19T23:00:00Z,Regucil,EC,2026-12-14T23:00:00Z,
AAAxdIAAEAAAA00AAC,00A152-60,OXO-00003-H-0-CS,2018-12-19T23:00:00Z,SIRTAKI,CS,2026-06-14T22:00:00Z,
AAAxdIAAEAAAA00AAD,008628-60,COM-10703-I-0-EC,2019-01-10T23:00:00Z,COMPO Nativert Blattlaus-frei,EC,2027-03-30T22:00:00Z,
AAAxdIAAEAAAA00AAE,007932-60,10297-00222-H-0-SC,2016-10-10T22:00:00Z,Inigo,SC,2028-05-30T22:00:00Z,
AAAxdIAAEAAAA00AAF,007932-61,10297-00222-H-0-SC,2016-10-10T22:00:00Z,Soleto,SC,2028-05-30T22:00:00Z,
AAAxdIAAEAAAA00AAG,027207-60,LBG-01034-F-0-SL,2018-01-08T23:00:00Z,LBG-01F34,SL,2027-01-30T23:00:00Z,
AAAxdIAAEAAAAmMAAL,008794-00,RHI-09109-W-1-AP,2017-09-12T22:00:00Z,"Chryzotop Grün 0,25%",AP,2027-03-14T23:00:00Z,
AAAxdIAAEAAAAmMAAM,008795-00,RHI-08795-W-0-AP,2017-09-12T22:00:00Z,Rhizopon AA 1% Pulver,AP,2027-03-14T23:00:00Z,
AAAxdIAAEAAAAmMAAN,008796-00,RHI-08796-W-0-ST,2017-09-14T22:00:00Z,Rhizopon AA Tablette,ST,2027-03-14T23:00:00Z,
AAAxdIAAEAAAAmMAAO,008797-00,VXT-04016-H-0-EC,2018-07-11T22:00:00Z,VextaDim 240 EC,EC,2027-05-30T22:00:00Z,
AAAxdIAAEAAAAmMAAP,008804-00,BAS-97476-FX-0-FS,2018-10-22T22:00:00Z,Integral Pro,FS,2027-09-15T22:00:00Z,
AAAxdIAAEAAAAmMAAQ,008806-00,SHA-17001-H-0-SC,2019-11-26T23:00:00Z,FLASH 500 SC,SC,2027-01-14T23:00:00Z,
AAAxdIAAEAAAAmMAAR,008809-00,FIN-52016-W-0-SC,2019-08-14T22:00:00Z,Exilis 100 XL,SC,2027-07-14T22:00:00Z,
AAAxdIAAEAAAAmMAAS,008810-00,11490-00072-H-0-SC,2019-11-26T23:00:00Z,UPTON,SC,2031-12-30T23:00:00Z,
AAAxdIAAEAAAAmMAAT,008814-00,BAY-21040-F-0-CS,2019-08-07T22:00:00Z,Prosper TEC,CS,2027-05-30T22:00:00Z,
AAAxdIAAEAAAAmMAAU,008818-00,NUD-20135-H-0-OD;10285-20135-H-1-OD,2019-02-20T23:00:00Z,Ikanos,OD,2026-12-30T23:00:00Z,
AAAxdIAAEAAAAmNAAA,008819-00,10840-00003-H-0-OD,2019-08-18T22:00:00Z,Croupier OD,OD,2027-08-30T22:00:00Z,
AAAxdIAAEAAAAmNAAB,008825-00,10020-51615-F-0-SC,2020-08-05T22:00:00Z,Cantus Ultra,SC,2026-09-14T22:00:00Z,
AAAxdIAAEAAAAmNAAC,008831-00,DOW-02644-H-0-OD,2018-02-27T23:00:00Z,GF-2644,OD,2026-08-04T22:00:00Z,
AAAxdIAAEAAAAmNAAD,008835-00,BAS-51617-F-0-SD,2020-01-12T23:00:00Z,Tessior,SD,2026-09-14T22:00:00Z,
AAAxdIAAEAAAAmNAAE,008837-00,12563-00001-F-0-SL,2020-08-30T22:00:00Z,FBR-B,SL,2027-01-30T23:00:00Z,
AAAxdIAAEAAAAmNAAF,008838-00,12563-00001-F-0-SL,2020-08-30T22:00:00Z,FBR-A,SL,2027-01-30T23:00:00Z,
AAAxdIAAEAAAAmNAAG,008858-00,SRR-03038-E-0-AE,2020-03-16T23:00:00Z,CheckMate Puffer LB/EA,AE,2026-08-30T22:00:00Z,
AAAxdIAAEAAAAmNAAH,008883-00,13425-03003-AFI-0-ME,2020-08-10T22:00:00Z,PREV-GOLD,ME,2027-12-30T23:00:00Z,
AAAxdIAAEAAAAmNAAI,008886-00,MBR-72016-F-0-SC,2019-03-27T23:00:00Z,Flowbrix,SC,2026-06-29T22:00:00Z,
AAAxdIAAEAAAAmNAAJ,008887-00,12018-08887-V-0-SC,2017-10-24T22:00:00Z,PMV-01,SC,2031-08-06T22:00:00Z,
AAAxdIAAEAAAAmNAAK,008911-00,SBM-16111-I-0-EC,2021-11-16T23:00:00Z,Neem Duo Schädlingsfrei,EC,2027-06-14T22:00:00Z,
AAAxdIAAEAAAAmNAAL,008923-00,JPA-08923-F-0-SC,2018-08-02T22:00:00Z,PENBOTEC 400SC,SC,2026-03-14T23:00:00Z,
AAAxdIAAEAAAAmNAAM,008930-00,BAY-21220-F-0-EC,2019-04-14T22:00:00Z,Input Triple,EC,2026-08-14T22:00:00Z,
AAAxdIAAEAAAAmNAAN,008934-00,BAS-97471-F-0-WP,2019-09-29T22:00:00Z,Serifel,WP,2027-09-15T22:00:00Z,
AAAxdIAAEAAAAmNAAO,008943-00,12051-27442-H-0-EC,2019-02-20T23:00:00Z,Gajus,EC,2026-09-29T22:00:00Z,
AAAxdIAAEAAAAmNAAP,008945-00,10039-74842-F-0-OD,2018-12-10T23:00:00Z,Zorvec Zelavin,OD,2028-03-02T23:00:00Z,
AAAxdIAAEAAAAmNAAQ,008946-00,10061-74842-F-0-OD,2018-12-10T23:00:00Z,Zorvec Enicade,OD,2028-03-02T23:00:00Z,
AAAxdIAAEAAAAmNAAR,008950-00,CAG-00001-W-0-HN,2020-10-28T23:00:00Z,ARGOS,HN,2027-12-30T23:00:00Z,
AAAxdIAAEAAAAmNAAS,008952-00,PAD-08952-F-0-WP,2017-12-07T23:00:00Z,Proradix,WP,2028-06-29T22:00:00Z,
AAAxdIAAEAAAAmNAAT,008957-00,GLM-08957-F-0-WG,2019-12-10T23:00:00Z,Alcoban,WG,2028-01-30T23:00:00Z,
AAAxdIAAEAAAAmOAAA,008338-00,XED-11214-F-0-HN,2017-07-13T22:00:00Z,Xedathane-HN,HN,2026-03-14T23:00:00Z,
AAAxdIAAEAAAAmOAAB,008355-00,SHP-72228-F-0-WG,2019-09-02T22:00:00Z,CAPTION 80 WG,WG,2027-01-30T23:00:00Z,
AAAxdIAAEAAAAmOAAC,008361-00,SYD-11825-W-1-SL,2017-12-05T23:00:00Z,PRIMO MAXX II,SL,2026-12-14T23:00:00Z,
AAAxdIAAEAAAAmOAAD,008370-00,12226-00324-F-0-WG,2019-02-13T23:00:00Z,Solofol,WG,2026-02-14T23:00:00Z,
AAAxdIAAEAAAAmOAAE,008377-00,SHP-34362-F-0-EC,2020-10-05T22:00:00Z,Difo 25% EC,EC,2027-03-14T23:00:00Z,
AAAxdIAAEAAAAmOAAF,008380-00,BAS-66901-F-0-SC,2017-06-27T22:00:00Z,Faban,SC,2027-06-29T22:00:00Z,
AAAxdIAAEAAAAmOAAG,008384-00,SHP-64267-H-0-OD,2018-12-13T23:00:00Z,NICOSH 4% OD,OD,2028-03-30T22:00:00Z,
AAAxdIAAEAAAAmOAAH,008386-00,13318-50005-H-0-EC,2017-08-24T22:00:00Z,DIGATOR,EC,2027-11-29T23:00:00Z,
AAAxdIAAEAAAAmOAAI,008401-00,GLM-08401-H-0-SC,2019-08-15T22:00:00Z,Turbine 50G,SC,2031-12-30T23:00:00Z,
AAAxdIAAEAAAAmOAAJ,008402-00,SHP-00100-I-0-EC,2017-09-24T22:00:00Z,GRANPROTEC,EC,2026-10-30T23:00:00Z,
AAAxdIAAEAAAAmOAAK,008403-00,SCF-31700-W-0-SL,2018-12-09T23:00:00Z,Promalin,SL,2027-07-14T22:00:00Z,
AAAxdIAAEAAAAmOAAL,008404-00,SHP-11430-M-0-RB,2017-07-26T22:00:00Z,LIMA ORO 3,RB,2027-08-30T22:00:00Z,
AAAxdIAAEAAAAmOAAM,008405-00,SYD-21860-F-0-EC,2017-03-06T23:00:00Z,ELATUS PLUS,EC,2027-03-01T23:00:00Z,
AAAxdIAAEAAAAmOAAN,008406-00,SYD-21970-F-0-EC,2017-03-05T23:00:00Z,ELATUS ERA,EC,2026-08-14T22:00:00Z,
AAAxdIAAEAAAAmOAAO,008407-00,10903-60001-W-0-WG,2017-10-12T22:00:00Z,Kudos,WG,2027-05-30T22:00:00Z,
AAAxdIAAEAAAAmOAAP,008413-00,GLM-01025-H-0-SE,2019-06-03T22:00:00Z,FLUROSTAR XL,SE,2028-02-14T23:00:00Z,
AAAxdIAAEAAAAmOAAQ,008414-00,OXO-31659-H-0-SC,2017-12-17T23:00:00Z,LYSKAMM,SC,2026-12-30T23:00:00Z,
AAAxdIAAEAAAAmOAAR,008418-00,GOB-00002-W-0-ST,2019-08-13T22:00:00Z,GIBER GOBBI 10,ST,2026-07-14T22:00:00Z,
AAAxdIAAEAAAAmOAAS,008419-00,GOB-00001-W-0-SL,2019-10-31T23:00:00Z,GOBBI GIB 4 LG,SL,2026-07-14T22:00:00Z,
AAAxdIAAEAAAAmOAAT,008422-00,12226-12345-W-0-SL,2017-09-04T22:00:00Z,Ormet,SL,2026-11-14T23:00:00Z,
AAAxdIAAEAAAAmOAAU,008430-00,BAY-22060-H-0-OD,2020-08-23T22:00:00Z,CONVISO  ONE,OD,2028-02-29T23:00:00Z,
AAAxdIAAEAAAAmPAAA,008443-00,10297-00359-H-0-SC,2019-08-13T22:00:00Z,FRESCO,SC,2028-05-30T22:00:00Z,
AAAxdIAAEAAAAmPAAB,008447-00,DOW-02626-I-0-SC,2018-12-16T23:00:00Z,Closer,SC,2026-08-17T22:00:00Z,
AAAxdIAAEAAAAmPAAC,008449-00,12905-11111-I-0-WP,2018-01-23T23:00:00Z,Lepinox Plus,WP,2026-04-29T22:00:00Z,
AAAxdIAAEAAAAmPAAD,008450-00,14019-00001-H-0-ME,2019-02-20T23:00:00Z,KINVARA,ME,2026-10-30T23:00:00Z,
AAAxdIAAEAAAAmPAAE,008464-00,AIA-00722-F-0-SL,2017-12-07T23:00:00Z,RIVAL,SL,2026-06-14T22:00:00Z,
AAAxdIAAEAAAAmPAAF,008465-00,12614-53404-F-0-SC,2020-08-30T22:00:00Z,EVITO T,SC,2026-06-14T22:00:00Z,
AAAxdIAAEAAAAmPAAG,008467-00,10130-53020-F-0-WG;10130-53020-F-1-WG,2017-10-12T22:00:00Z,Microthiol WG,WG,2026-04-14T22:00:00Z,
AAAxdIAAEAAAAmPAAH,008468-00,CEL-01772-H-0-GR,2017-07-25T22:00:00Z,Substral 3in1 Komplett-Rasendünger,GR,2027-11-29T23:00:00Z,
AAAxdIAAEAAAAmPAAI,008471-00,SHP-63825-M-0-RB,2017-07-26T22:00:00Z,Lima Oro 5,RB,2027-08-30T22:00:00Z,
AAAxdIAAEAAAAmPAAJ,008479-00,BAY-21100-F-0-SE,2018-12-11T23:00:00Z,Luna Max,SE,2027-05-30T22:00:00Z,
AAAxdIAAEAAAAmPAAK,008481-00,SSP-70100-LW-0-XX,2018-12-11T23:00:00Z,Stähler Rebwachs Pro,XX,2026-08-30T22:00:00Z,
AAAxdIAAEAAAAmPAAL,008482-00,DEO-01071-M-0-RB,2017-10-15T22:00:00Z,Slug-Off,RB,2027-08-30T22:00:00Z,
AAAxdIAAEAAAAmPAAM,008483-00,GLM-08483-F-0-SC,2018-05-17T22:00:00Z,POMAX,SC,2026-03-14T23:00:00Z,
AAAxdIAAEAAAAmPAAN,008484-00,SHP-87463-W-0-EC,2017-10-11T22:00:00Z,NEXT,EC,2027-07-30T22:00:00Z,
AAAxdIAAEAAAAmPAAO,008485-00,10539-00023-I-0-EC,2018-01-08T23:00:00Z,SCATTO,EC,2026-10-30T23:00:00Z,
AAAxdIAAEAAAAmPAAP,008487-00,LID-00100-W-0-GA,2017-11-15T23:00:00Z,Banarg,GA,2026-08-30T22:00:00Z,
AAAxdIAAEAAAAmPAAQ,008488-00,LID-00200-W-0-GA,2017-11-09T23:00:00Z,Ethylene 100%,GA,2026-08-30T22:00:00Z,
AAAxdIAAEAAAAmPAAR,008489-00,12226-30040-W-0-SL,2018-01-07T23:00:00Z,ORMET PLUS,SL,2027-07-30T22:00:00Z,
AAAxdIAAEAAAAmPAAS,008498-00,GLM-10661-F-0-SC,2024-05-01T22:00:00Z,DIFOL,SC,2026-02-14T23:00:00Z,
AAAxdIAAEAAAAmPAAT,008499-00,SYD-21890-F-0-EW,2018-03-08T23:00:00Z,SOLVIT,EW,2026-12-30T23:00:00Z,
AAAxdIAAEAAAAmQAAA,00A278-00,DOW-03307-F-0-EC,2022-02-21T23:00:00Z,Univoq,EC,2026-08-14T22:00:00Z,
AAAxdIAAEAAAAmQAAB,00A279-00,DOW-03308-F-0-EC,2022-02-21T23:00:00Z,Questar,EC,2029-10-10T22:00:00Z,
AAAxdIAAEAAAAmQAAC,00A281-00,ADD-05382-F-0-EC,2019-03-18T23:00:00Z,Nimrod EC,EC,2028-01-30T23:00:00Z,
AAAxdIAAEAAAAmQAAD,00A282-00,10020-75200-F-0-EC,2020-10-04T22:00:00Z,Alonty,EC,2026-05-30T22:00:00Z,
AAAxdIAAEAAAAmQAAE,00A283-00,14816-00617-AI-0-EW,2019-11-06T23:00:00Z,FLiPPER,EW,2027-11-30T23:00:00Z,
AAAxdIAAEAAAAmQAAF,00A286-00,BAS-75100-F-0-EC,2020-05-27T22:00:00Z,Balaya,EC,2026-09-14T22:00:00Z,
AAAxdIAAEAAAAmQAAG,00A289-00,SYD-16130-I-0-SC,2022-12-15T23:00:00Z,ACELEPRYN,SC,2028-05-30T22:00:00Z,
AAAxdIAAEAAAAmQAAH,00A292-00,CEL-20001-F-0-AL,2024-11-06T23:00:00Z,Rosen Mehltau Pilzfrei,AL,2026-04-14T22:00:00Z,
AAAxdIAAEAAAAmQAAI,00A296-00,10039-00296-F-0-SE,2023-01-17T23:00:00Z,Zorvec Vinabel,SE,2028-03-02T23:00:00Z,
AAAxdIAAEAAAAmQAAJ,00A304-00,SCF-00001-I-0-WG,2019-11-26T23:00:00Z,DiPel DF,WG,2026-08-14T22:00:00Z,
AAAxdIAAEAAAAmQAAK,00A311-00,13522-10556-H-0-SL,2019-05-06T22:00:00Z,KAMBA 480 SL,SL,2026-12-30T23:00:00Z,
AAAxdIAAEAAAAmQAAL,00A317-00,SHP-16003-F-0-EC,2020-11-03T23:00:00Z,DITTO 25 EC,EC,2027-03-14T23:00:00Z,
AAAxdIAAEAAAAmQAAM,00A318-00,13369-00210-F-0-FU,2019-09-02T22:00:00Z,DECCOPYR-POT,FU,2026-03-14T23:00:00Z,
AAAxdIAAEAAAAmQAAN,00A322-00,SHP-48001-H-0-SL,2019-05-06T22:00:00Z,EMCEE,SL,2027-08-14T22:00:00Z,
AAAxdIAAEAAAAmQAAO,00A326-00,SHA-72002-F-0-WG,2019-03-24T23:00:00Z,BONAFIDE,WG,2027-04-14T22:00:00Z,
AAAxdIAAEAAAAmQAAP,00A335-00,13230-10141-W-0-SG,2019-05-13T22:00:00Z,Shorttrack,SG,2026-09-14T22:00:00Z,
AAAxdIAAEAAAAmQAAQ,00A336-00,BAS-70000-H-0-WG,2022-02-20T23:00:00Z,Pico,WG,2032-06-29T22:00:00Z,
AAAxdIAAEAAAAmQAAR,00A343-00,BAS-71700-F-0-SC,2021-07-14T22:00:00Z,Brivela,SC,2026-05-30T22:00:00Z,
AAAxdIAAEAAAAmQAAS,00A345-00,SHP-06071-H-0-WG,2022-01-24T23:00:00Z,RiNiDi WG,WG,2026-08-14T22:00:00Z,
AAAxdIAAEAAAAmQAAT,00A351-00,SDE-18121-H-0-AL,2023-10-18T22:00:00Z,Permaclean Spray,AL,2027-11-30T23:00:00Z,
AAAxdIAAEAAAAmQAAU,00A352-00,SHP-25005-F-0-EW,2020-12-10T23:00:00Z,TEBU 25,EW,2027-08-14T22:00:00Z,
AAAxdIAAEAAAAmRAAA,00A353-00,PUN-64197-H-0-AL,2019-08-12T22:00:00Z,CITO FAST,AL,2026-08-30T22:00:00Z,
AAAxdIAAEAAAAmRAAB,00A354-00,PUN-64198-H-0-SL,2020-02-09T23:00:00Z,CITO MAX,SL,2026-08-30T22:00:00Z,
AAAxdIAAEAAAAmRAAC,00A361-00,SHA-57001-F-0-EC,2019-06-16T22:00:00Z,PRAKTIS,EC,2026-08-14T22:00:00Z,
AAAxdIAAEAAAAmRAAD,00A362-00,PES-01362-F-0-SC,2019-08-05T22:00:00Z,Afrodyta 250 SC,SC,2028-05-30T22:00:00Z,
AAAxdIAAEAAAAmRAAE,00A364-00,10661-01296-H-0-SC,2021-08-23T22:00:00Z,Brando,SC,2027-12-30T23:00:00Z,
AAAxdIAAEAAAAmRAAF,00A370-00,NUD-20135-H-0-SL,2024-02-21T23:00:00Z,Credit Xtreme,SL,2026-12-14T23:00:00Z,
AAAxdIAAEAAAAmRAAG,00A373-00,ALB-00095-H-0-SE,2020-11-22T23:00:00Z,Clyde FX,SE,2028-02-14T23:00:00Z,
AAAxdIAAEAAAAmRAAH,00A391-00,12226-00050-H-0-EC;12226-00050-H-1-EC,2019-12-15T23:00:00Z,Leopard,EC,2026-11-29T23:00:00Z,
AAAxdIAAEAAAAmRAAI,00A397-00,12463-01002-I-0-EC,2020-06-30T22:00:00Z,POLECI 2.5 EC,EC,2027-08-14T22:00:00Z,
AAAxdIAAEAAAAmRAAJ,00A398-00,12245-12345-F-0-EC,2020-01-22T23:00:00Z,TRACIAFIN,EC,2026-08-14T22:00:00Z,
AAAxdIAAEAAAAmRAAK,00A400-00,10661-00450-H-0-SC,2020-05-07T22:00:00Z,Naprop 450,SC,2027-12-30T23:00:00Z,
AAAxdIAAEAAAAmRAAL,00A402-00,10661-00402-H-0-SL,2020-05-04T22:00:00Z,Chaco,SL,2026-12-30T23:00:00Z,
AAAxdIAAEAAAAmRAAM,00A405-00,10700-00001-W-0-SL,2021-01-28T23:00:00Z,ConShape,SL,2027-09-14T22:00:00Z,
AAAxdIAAEAAAAmRAAN,00A411-00,12463-27001-H-0-EC,2020-08-19T22:00:00Z,ELEMENT 05 EC,EC,2028-02-27T23:00:00Z,
AAAxdIAAEAAAAmRAAO,00A415-00,11831-92010-H-0-SC,2021-10-04T22:00:00Z,HUKKATA 500 SC,SC,2026-12-30T23:00:00Z,
AAAxdIAAEAAAAmRAAP,00A416-00,12463-24001-H-0-WG,2020-06-24T22:00:00Z,RIM 25 WG,WG,2026-08-14T22:00:00Z,
AAAxdIAAEAAAAmRAAQ,00A424-00,12463-63003-H-0-EC,2020-09-08T22:00:00Z,PROFESSIONAL,EC,2028-01-30T23:00:00Z,
AAAxdIAAEAAAAmRAAR,00A425-00,11657-03441-M-0-RB,2020-03-19T23:00:00Z,Metarex Duo,RB,2027-08-30T22:00:00Z,
AAAxdIAAEAAAAmRAAS,00A426-00,10039-00426-F-0-OD,2020-01-27T23:00:00Z,Orondis Plus,OD,2028-03-02T23:00:00Z,
AAAxdIAAEAAAAmRAAT,00A431-00,11490-00103-H-0-SL,2025-05-27T22:00:00Z,JANERO 480 SL,SL,2028-03-30T22:00:00Z,
AAAxdIAAEAAAAmRAAU,00A432-00,10062-31697-H-0-ZC,2022-02-13T23:00:00Z,ISERAN,ZC,2026-06-14T22:00:00Z,
AAAxdIAAEAAAAmSAAA,00A439-00,12245-28619-F-0-SC,2020-03-11T23:00:00Z,AZOFIN PLUS,SC,2028-05-30T22:00:00Z,
AAAxdIAAEAAAAmSAAB,00A440-00,10020-51005-F-0-SC;10020-51005-F-1-SC,2021-10-20T22:00:00Z,Entargo,SC,2027-04-14T22:00:00Z,
AAAxdIAAEAAAAmSAAC,00A442-00,12463-38006-H-0-EC,2020-08-24T22:00:00Z,PHANTOM,EC,2027-05-30T22:00:00Z,
AAAxdIAAEAAAAmSAAD,00A449-00,10661-01449-F-0-FS,2021-02-15T23:00:00Z,Latifam Extra,FS,2026-06-14T22:00:00Z,
AAAxdIAAEAAAAmSAAE,00A452-00,13484-11901-M-1-RB,2020-04-19T22:00:00Z,DuraTech,RB,2031-12-30T23:00:00Z,J
AAAxdIAAEAAAAmSAAF,00A455-00,13484-31901-M-2-RB,2020-04-19T22:00:00Z,DuraTech Power,RB,2031-12-30T23:00:00Z,J
AAAxdIAAEAAAAmSAAG,00A456-00,13484-31901-M-0-RB,2020-04-19T22:00:00Z,IRONCLAD,RB,2031-12-30T23:00:00Z,J
AAAxdIAAEAAAAmSAAH,00A457-00,10021-21410-F-0-EC,2023-01-08T23:00:00Z,Silvron,EC,2026-05-30T22:00:00Z,
AAAxdIAAEAAAAmSAAI,00A461-00,13440-1106-F-0-WP,2020-02-24T23:00:00Z,TAEGRO,WP,2033-05-31T22:00:00Z,
AAAxdIAAEAAAAmSAAJ,00A462-00,11281-06401-F-0-EC,2020-07-13T22:00:00Z,AURELIA,EC,2026-08-14T22:00:00Z,
AAAxdIAAEAAAAmSAAK,00A469-00,10661-00469-F-0-EC,2020-07-13T22:00:00Z,Protendo 250 EC,EC,2026-08-14T22:00:00Z,
AAAxdIAAEAAAAmSAAL,00A472-00,10661-00472-H-0-SC,2022-11-01T23:00:00Z,Chanon,SC,2027-07-30T22:00:00Z,
AAAxdIAAEAAAAmSAAM,00A475-00,14019-00800-H-1-EC,2020-09-22T22:00:00Z,Spannit,EC,2026-10-30T23:00:00Z,
AAAxdIAAEAAAAmSAAN,00A479-00,11281-11139-F-0-WG,2020-05-17T22:00:00Z,BOSCALID 500 WG,WG,2027-04-14T22:00:00Z,
AAAxdIAAEAAAAmSAAO,00A480-00,10020-75011-F-0-SC;10020-75011-F-1-SC;10020-75011-F-2-SC,2022-03-15T23:00:00Z,Belanty,SC,2030-03-19T23:00:00Z,
AAAxdIAAEAAAAmSAAP,00A482-00,12463-91001-F-0-WP,2023-09-11T22:00:00Z,HYCOP,WP,2026-12-30T23:00:00Z,
AAAxdIAAEAAAAmSAAQ,00A485-00,10661-00485-H-0-EC,2020-06-24T22:00:00Z,Maceta 50,EC,2027-11-29T23:00:00Z,
AAAxdIAAEAAAAmSAAR,00A489-00,11281-01141-F-0-EC,2021-01-17T23:00:00Z,FLEXURE,EC,2026-08-14T22:00:00Z,
AAAxdIAAEAAAAmSAAS,00A491-00,12463-72732-F-0-WG,2020-05-18T22:00:00Z,COBALT,WG,2026-09-14T22:00:00Z,
AAAxdIAAEAAAAmSAAT,00A494-00,12463-01024-I-0-UL,2020-07-15T22:00:00Z,BANK,UL,2027-08-14T22:00:00Z,
AAAxdIAAEAAAAmSAAU,00A497-00,14616-00001-F-0-EC,2020-07-23T22:00:00Z,ULTRALINE,EC,2026-08-14T22:00:00Z,
AAAxdIAAEAAAAmTAAA,00A501-00,10285-12715-H-0-EC,2020-06-16T22:00:00Z,Flua Power,EC,2027-05-30T22:00:00Z,
AAAxdIAAEAAAAmTAAB,00A504-00,11490-06487-H-1-EC,2020-09-22T22:00:00Z,Fantasia,EC,2028-01-30T23:00:00Z,
AAAxdIAAEAAAAmTAAC,00A513-00,10130-00513-I-0-ES,2020-12-10T23:00:00Z,SIGNAL 300 ES,ES,2026-03-30T22:00:00Z,
AAAxdIAAEAAAAmTAAD,00A518-00,10661-01518-F-0-WG,2020-06-29T22:00:00Z,Rasput,WG,2027-04-14T22:00:00Z,
AAAxdIAAEAAAAmTAAE,00A519-00,11881-75021-I-0-SC,2020-05-28T22:00:00Z,Applaud 25 SC,SC,2026-12-14T23:00:00Z,
AAAxdIAAEAAAAmTAAF,00A524-00,12245-04119-F-0-SC,2020-07-12T22:00:00Z,TRIERE,SC,2027-04-14T22:00:00Z,
AAAxdIAAEAAAAmTAAG,00A526-00,12463-14001-H-0-SL,2020-05-14T22:00:00Z,CLAP,SL,2026-04-29T22:00:00Z,
AAAxdIAAEAAAAmTAAH,00A529-00,12463-75001-F-0-SC,2020-06-22T22:00:00Z,PIRIM,SC,2026-03-14T23:00:00Z,
AAAxdIAAEAAAAmTAAI,00A532-00,11831-92010-H-0-OD,2022-11-01T23:00:00Z,RIGHTEH 060 OD,OD,2027-12-30T23:00:00Z,
AAAxdIAAEAAAAmTAAJ,00A533-00,10130-07056-H-1-SC,2020-05-25T22:00:00Z,Oblix,SC,2032-10-30T22:00:00Z,
AAAxdIAAEAAAAmTAAK,00A534-00,10130-00534-H-0-SC,2020-11-18T23:00:00Z,Metafol Super,SC,2026-08-30T22:00:00Z,
AAAxdIAAEAAAAmTAAL,00A536-00,10039-00536-F-0-EC,2021-09-15T22:00:00Z,Verben,EC,2026-08-14T22:00:00Z,
AAAxdIAAEAAAAmTAAM,00A540-00,12018-00300-H-0-GR,2020-05-12T22:00:00Z,Anti-Moos Rasendünger,GR,2026-08-30T22:00:00Z,
AAAxdIAAEAAAAmTAAN,00A541-00,10297-00001-I-0-SL,2020-05-28T22:00:00Z,Eradicoat Max,SL,2027-02-27T23:00:00Z,
AAAxdIAAEAAAAmTAAO,00A542-00,10021-22430-H-0-SC,2020-10-07T22:00:00Z,Betanal Tandem,SC,2026-02-14T23:00:00Z,
AAAxdIAAEAAAAmTAAP,00A547-00,10020-70311-F-0-EC,2020-08-24T22:00:00Z,Mizona,EC,2026-09-14T22:00:00Z,
AAAxdIAAEAAAAmTAAQ,00A548-00,12911-00001-W-0-GE,2020-06-22T22:00:00Z,Restrain,GE,2026-08-30T22:00:00Z,
AAAxdIAAEAAAAmTAAR,00A549-00,10758-14155-H-0-EC,2020-06-04T22:00:00Z,WARAN,EC,2028-02-14T23:00:00Z,
AAAxdIAAEAAAAmTAAS,00A550-00,12463-68002-F-0-WG,2020-08-24T22:00:00Z,DYNAMO,WG,2028-01-30T23:00:00Z,
AAAxdIAAEAAAAmTAAT,00A552-00,10021-22250-H-0-WG,2022-02-06T23:00:00Z,Incelo,WG,2028-02-29T23:00:00Z,
AAAxdIAAEAAAAmTAAU,00A553-00,10661-00553-H-0-EC,2022-03-16T23:00:00Z,Maceta 100,EC,2026-11-29T23:00:00Z,
AAAxdIAAEAAAAmUAAA,00A554-00,14019-00001-H-1-EC,2020-11-29T23:00:00Z,Hurler,EC,2028-02-14T23:00:00Z,
AAAxdIAAEAAAAmUAAB,00A555-00,11831-92010-H-0-SL,2023-05-29T22:00:00Z,Haksar Turbo 340 SL,SL,2027-08-14T22:00:00Z,
AAAxdIAAEAAAAmUAAC,00A558-00,10285-00002-W-0-SL,2023-11-01T23:00:00Z,Stabilan 400,SL,2028-02-27T23:00:00Z,
AAAxdIAAEAAAAmUAAD,00A559-00,10661-00289-H-0-WG,2023-09-25T22:00:00Z,Zeppos,WG,2033-03-30T22:00:00Z,
AAAxdIAAEAAAAmUAAE,00A560-00,11881-10066-F-2-FS,2020-08-16T22:00:00Z,Moncut,FS,2026-06-14T22:00:00Z,
AAAxdIAAEAAAAmUAAF,00A565-00,12864-67152-F-0-SL,2023-06-07T22:00:00Z,FytoSol,SL,2031-04-21T22:00:00Z,J
AAAxdIAAEAAAAmUAAG,00A566-00,13544-05203-F-0-EC,2021-12-01T23:00:00Z,GATTEN,EC,2030-04-13T22:00:00Z,
AAAxdIAAEAAAAmUAAH,00A568-00,10255-00568-I-0-OD,2024-11-24T23:00:00Z,Shoori,OD,2027-11-29T23:00:00Z,
AAAxdIAAEAAAAmUAAI,00A569-00,10523-12020-H-0-SC,2020-07-16T22:00:00Z,Nervure,SC,2027-11-29T23:00:00Z,
AAAxdIAAEAAAAmUAAJ,00A579-00,11831-00579-H-0-SL,2024-02-25T23:00:00Z,HALVETIC,SL,2026-12-14T23:00:00Z,
AAAxdIAAEAAAAmUAAK,00A580-00,10185-00580-I-0-GE,2022-08-31T22:00:00Z,QuickPhos Bags,GE,2027-08-30T22:00:00Z,
