m_row$$,kennr,versuchsbez,zul_erstmalig_am,mittelname,formulierung_art,zul_ende,mittel_mit_geringem_risiko
AAAxdIAAEAAAA1vAAP,02A325-61,12780-00325-F-0-AL,2024-10-23T22:00:00Z,Armisan AF PilzFrei,AL,2037-10-30T23:00:00Z,
AAAxdIAAEAAAA1vAAQ,02A325-62,12780-00325-F-0-AL,2024-10-23T22:00:00Z,Pilzfrei AF,AL,2037-10-30T23:00:00Z,
AAAxdIAAEAAAA1vAAR,02A325-63,12780-00325-F-0-AL,2024-10-23T22:00:00Z,Pilzspray SAPROL N,AL,2037-10-30T23:00:00Z,
AAAxdIAAEAAAA1vAAS,00A810-60,11654-06487-H-0-EC,2024-10-10T22:00:00Z,Kendo Classic XL,EC,2026-10-30T23:00:00Z,
AAAxdIAAEAAAA1vAAT,028571-60,10021-22080-H-0-WG,2024-10-10T22:00:00Z,Kalenkoa Star,WG,2028-02-29T23:00:00Z,
AAAxdIAAEAAAAm6AAA,024436-67,10061-00001-I-0-EC,2015-07-28T22:00:00Z,Bayer Garten Schädlingsfrei Lizetan AZ,EC,2028-01-30T23:00:00Z,
AAAxdIAAEAAAAm6AAB,006788-61,SDE-17130-I-0-AL,2015-07-28T22:00:00Z,Bayer Garten Zierpflanzenspray Decis AF,AL,2027-08-14T22:00:00Z,
AAAxdIAAEAAAAm6AAC,006788-62,SDE-17130-I-0-AL,2015-07-28T22:00:00Z,Bayer Garten Schädlingsfrei Decis AF,AL,2027-08-14T22:00:00Z,
AAAxdIAAEAAAAm6AAD,006788-63,SDE-17130-I-0-AL,2015-07-28T22:00:00Z,Bayer Garten Schädlingsspray Decis AE,AL,2027-08-14T22:00:00Z,
AAAxdIAAEAAAAm6AAE,006788-64,SDE-17130-I-0-AL,2015-08-26T22:00:00Z,ETISSO Schädlings-Stop AF,AL,2027-08-14T22:00:00Z,
AAAxdIAAEAAAAm6AAF,006193-63,NEU-01171-H-0-SL,2015-03-01T23:00:00Z,RA-3000-flüssig,SL,2026-12-30T23:00:00Z,
