m_row$$,awg_id,schadorg,ausgenommen,sortier_nr
AAAxcCAAEAAACfeAAb,024436-75/00-028,BLMIIN,N,4.0
AAAxcCAAEAAACfeAAc,024436-76/00-028,BLMIIN,N,4.0
AAAxcCAAEAAACfeAAd,024436-77/00-028,BLMIIN,N,4.0
AAAxcCAAEAAACfeAAe,024436-78/00-028,BLMIIN,N,4.0
AAAxcCAAEAAACfeAAf,024436-79/00-028,BLMIIN,N,4.0
AAAxcCAAEAAACfeAAg,024436-80/00-028,BLMIIN,N,4.0
AAAxcCAAEAAACfeAAh,024436-81/00-028,BLMIIN,N,4.0
AAAxcCAAEAAACfeAAi,024436-82/00-028,BLMIIN,N,4.0
AAAxcCAAEAAACfeAAj,024436-83/00-028,BLMIIN,N,4.0
AAAxcCAAEAAACfeAAk,024436-84/00-028,BLMIIN,N,4.0
AAAxcCAAEAAACfeAAl,024436-85/00-028,BLMIIN,N,4.0
AAAxcCAAEAAACfeAAm,024436-86/00-028,BLMIIN,N,4.0
AAAxcCAAEAAACfeAAn,024436-87/00-028,BLMIIN,N,4.0
AAAxcCAAEAAACfeAAo,024436-88/00-028,BLMIIN,N,4.0
AAAxcCAAEAAACfeAAp,024436-89/00-028,BLMIIN,N,4.0
AAAxcCAAEAAACfeAAq,024436-90/00-028,BLMIIN,N,4.0
AAAxcCAAEAAACfeAAr,024436-91/00-028,BLMIIN,N,4.0
AAAxcCAAEAAACfeAAs,024436-92/00-028,BLMIIN,N,4.0
AAAxcCAAEAAACfeAAt,024436-93/00-028,BLMIIN,N,4.0
AAAxcCAAEAAACfeAAu,024436-94/00-028,BLMIIN,N,4.0
AAAxcCAAEAAACfeAAv,024436-63/00-028,HEXXSP_1,J,2.0
AAAxcCAAEAAACfeAAw,024436-64/00-028,HEXXSP_1,J,2.0
AAAxcCAAEAAACfeAAx,024436-65/00-028,HEXXSP_1,J,2.0
AAAxcCAAEAAACfeAAy,024436-66/00-028,HEXXSP_1,J,2.0
AAAxcCAAEAAACfeAAz,024436-67/00-028,HEXXSP_1,J,2.0
AAAxcCAAEAAACfeAA0,024436-68/00-028,HEXXSP_1,J,2.0
AAAxcCAAEAAACfeAA1,024436-69/00-028,HEXXSP_1,J,2.0
AAAxcCAAEAAACfeAA2,024436-70/00-028,HEXXSP_1,J,2.0
AAAxcCAAEAAACfeAA3,024436-74/00-028,HEXXSP_1,J,2.0
AAAxcCAAEAAACfeAA4,024436-75/00-028,HEXXSP_1,J,2.0
AAAxcCAAEAAADamAAx,043099-65/00-019,PHYTSP,N,1.0
AAAxcCAAEAAADamAAy,043099-60/01-001,BREMLA,N,1.0
AAAxcCAAEAAADXcAAH,025287-60/00-008,FUSASP,N,1.0
AAAxcCAAEAAADXcAAI,025287-61/00-008,FUSASP,N,1.0
AAAxcCAAEAAADXcAAJ,025287-62/00-008,FUSASP,N,1.0
AAAxcCAAEAAADXcAAK,025287-63/00-008,FUSASP,N,1.0
AAAxcCAAEAAADXcAAL,025287-64/00-008,FUSASP,N,1.0
AAAxcCAAEAAADXcAAM,025287-65/00-008,FUSASP,N,1.0
AAAxcCAAEAAADXcAAN,025287-66/00-008,FUSASP,N,1.0
AAAxcCAAEAAADXcAAO,025287-67/00-008,FUSASP,N,1.0
AAAxcCAAEAAADXcAAP,025287-60/00-009,PSDCHE,N,1.0
AAAxcCAAEAAADXcAAQ,025287-61/00-009,PSDCHE,N,1.0
AAAxcCAAEAAADXcAAR,025287-62/00-009,PSDCHE,N,1.0
AAAxcCAAEAAADXcAAS,025287-63/00-009,PSDCHE,N,1.0
AAAxcCAAEAAADXcAAT,025287-64/00-009,PSDCHE,N,1.0
AAAxcCAAEAAADXcAAU,025287-65/00-009,PSDCHE,N,1.0
AAAxcCAAEAAADXcAAV,025287-66/00-009,PSDCHE,N,1.0
AAAxcCAAEAAADXcAAW,025287-67/00-009,PSDCHE,N,1.0
AAAxcCAAEAAADXcAAX,025287-60/00-010,ERYSGR,N,1.0
AAAxcCAAEAAADXcAAY,025287-61/00-010,ERYSGR,N,1.0
AAAxcCAAEAAADXcAAZ,025287-62/00-010,ERYSGR,N,1.0
AAAxcCAAEAAADXcAAa,025287-63/00-010,ERYSGR,N,1.0
AAAxcCAAEAAADXcAAb,025287-64/00-010,ERYSGR,N,1.0
AAAxcCAAEAAADXcAAc,025287-65/00-010,ERYSGR,N,1.0
AAAxcCAAEAAADXcAAd,025287-66/00-010,ERYSGR,N,1.0
AAAxcCAAEAAADXcAAe,025287-67/00-010,ERYSGR,N,1.0
AAAxcCAAEAAADXcAAf,025287-60/00-011,PUCCHD,N,1.0
AAAxcCAAEAAADXcAAg,025287-61/00-011,PUCCHD,N,1.0
AAAxcCAAEAAADXcAAh,025287-62/00-011,PUCCHD,N,1.0
AAAxcCAAEAAADXcAAi,025287-63/00-011,PUCCHD,N,1.0
AAAxcCAAEAAADXcAAj,025287-64/00-011,PUCCHD,N,1.0
AAAxcCAAEAAADXcAAk,025287-65/00-011,PUCCHD,N,1.0
AAAxcCAAEAAADXcAAl,025287-66/00-011,PUCCHD,N,1.0
AAAxcCAAEAAADXcAAm,025287-67/00-011,PUCCHD,N,1.0
AAAxcCAAEAAADXcAAn,025287-60/00-012,PYRNTE,N,1.0
AAAxcCAAEAAADXcAAo,025287-61/00-012,PYRNTE,N,1.0
AAAxcCAAEAAADXcAAp,025287-62/00-012,PYRNTE,N,1.0
AAAxcCAAEAAADXcAAq,025287-63/00-012,PYRNTE,N,1.0
AAAxcCAAEAAADXcAAr,025287-64/00-012,PYRNTE,N,1.0
AAAxcCAAEAAADXcAAs,025287-65/00-012,PYRNTE,N,1.0
AAAxcCAAEAAADXcAAt,025287-66/00-012,PYRNTE,N,1.0
