kode,kodeliste,sprache,kodetext,sperre
SX056,74,GB,S 56 : Dispose of this material and its container to hazardous or special waste collection point.,J
SX057,74,GB,S 57 : Use appropriate container to avoid environmental contamination.,J
SX059,74,GB,S 59 : Refer to manufacturer/supplier for information on recovery/recycling.,J
SX060,74,GB,S 60 : This material and ist container must be disposed of as hazardous waste.,J
TM4,25,GB,tablet per 9 m²,N
TM5,25,GB,tablet per 12.5 m²,N
TM6,25,GB,tablet per 13 m²,N
TP8,25,GB,tablet per 8 plants,N
TP8,25,DE,Tablette/ 8 Pflanzen,N
LW,25,DE,l Wasser,N
L%,25,GB,L%,J
LW,25,GB,L water,N
VH401,74,DE,Auf dem Etikett und in der Gebrauchsanleitung ist der Beistoff Ethanol einschließlich Gehalt anzugeben.,N
VH401,74,GB,The formulant ethanol must be included on the label and in the instructions together with its content.,N
NG324-2,74,DE,Auf derselben Fläche in den folgenden zwei Kalenderjahren keine Anwendung von Mitteln mit dem Wirkstoff Fluopicolide.,N
NG324-2,74,GB,Products containing the active substance fluopicolide are not to be used in the following two calendar years on the same area.,N
AP01288,75,DE,"maximaler Mittelaufwand 288 ml/ha (entsprechend maximal 1,8 dt Saatgut pro ha)",N
AP01170,75,DE,"maximaler Mittelaufwand 170 ml/ha (entsprechend maximal 1,7 dt Saatgut pro ha)",N
AP01288,75,GB,maximum application rate 288 mL/ha (equivalent to a maximum of 1.8 dt seeds per),N
ST128,74,GB,"Wear particle-filtering half mask FFP2 or half mask HM with particle filter P2 (identification colour white) in accordance with the BVL guideline ""Personal protective equipment for handling plant protection products"", current version, for applying/handling the ready-to-use product with operator-carried equipment.",N
CEUTPL,947,GB,Cabbage gall weevil,N
TIERE,947,GB,animals,N
PHRABU,947,GB,rust of blackberry (Phragmidium bulbosum),N
CERCSP,947,GB,Cercospora species,N
???,948,GB,Code to be defined,N
VH374,74,DE,"Im technischen Wirkstoff Quinoclamin darf der Gehalt an Dichlone (2,3-Dichlor-1,4-naphthochinon) 15 g/kg nicht übersteigen.",N
VH374,74,GB,"In the technical active substance quinoclamine the content of dichlone (2,3-dichloro-1,4-
naphthoquinone) may not exceed 15 g/kg.
",N
RA079,74,DE,Enthält Quinoclamin. Kann allergische Reaktionen hervorrufen.,J
RA079,74,GB,Contains quinoclamine. May produce allergic reactions.,J
VA252,74,DE,"Behandelte Flächen/Kulturen dürfen von unbeteiligten Dritten grundsätzlich frühestens 24 Stunden nach Ausbringen des Mittels betreten werden. Nach dem Ausbringen des Mittels ist durch geeignete Maßnahmen sicherzustellen, dass dritte Personen, insbesondere Kinder, die Behandlungsfläche nicht betreten.",N
NH680,74,DE,"Auf Packungen mit gebeiztem Saatgut ist folgende Kennzeichnung anzubringen: ""Behandeltes Saatgut und Reste wie Bruchkorn und Stäube, entleerte Behältnisse oder Packungen sowie Spülflüssigkeiten nicht in Gewässer gelangen lassen. Dies gilt auch für indirekte Einträge über die Kanalisation, Hof- und Straßenabläufe sowie Regen- und Abwasserkanäle.""",N
NH681,74,DE,"Auf Packungen mit gebeiztem Saatgut ist folgende Kennzeichnung anzubringen: ""Keine Ausbringung des behandelten Saatgutes bei Wind mit Geschwindigkeiten über 5 m/s.""",J
NH682,74,DE,"Auf Packungen mit gebeiztem Saatgut ist folgende Kennzeichnung anzubringen: ""Das behandelte Saatgut einschließlich enthaltener oder beim Sävorgang entstehender Stäube vollständig in den Boden einbringen.""",N
VA252,74,GB,"Treated areas/crops may not be entered in general by uninvolved third persons until at least 24 hours after applying the product. After applying the product, suitable measures must be taken to ensure that third persons, particularly children, do not enter the treated area.",N
VH611,74,DE,"Der Gehalt an Toluol darf 5 g/kg und der Gehalt an Prothioconazol-desthio (2-(1-chlorocycolproyl)1-(2-chlorophenyl-3-(1,2,4-triazol-1-yl)-propan-2ol) darf 0,5 g/kg im technischen Wirkstoff Prothioconazol nicht überschreiten.",N
VH611,74,GB,"The content of toluene may not exceed 5 g/kg and the content of prothioconazole-desthio (2-(1-chlorocycolproyl)1-(2-chlorophenyl-3-(1,2,4-triazol-1-yl)-propan-2ol) may not exceed 0,5 g/kg in the technical active substance prothioconazole.",N
AP01170,75,GB,maximum application rate 170 mL/ha (equivalent to a maximum of 1.7 dt seeds per),N
SF194,74,GB,"When re-entering the treated bush and tree cultures on the day of application the protective suit for working with plant protection products and universal protective gloves (plant protection) must be worn. Successive work on/in the crops stated above may not be carried out until 24 hours after applying the product. During the first week, the standard protective suit for working with plant protection products and universal protective gloves (plant protection) must be worn.
",J
RA146,74,DE,Enthält Lactose. Kann allergische Reaktionen hervorrufen.,J
RA146,74,GB,Contains lactase. May produce allergic reactions.,J
KO0400,75,DE,als Tribenuron Methyl-resistente Kulturpflanze,N
AP01450,75,DE,"maximaler Mittelaufwand 450 ml/ha (entsprechend maximal 2,25 dt Saatgut pro ha)",N
AP01450,75,GB,maximum application rate 450 mL/ha (equivalent to a maximum of 2.25 dt seeds per ha),N
AP01270,75,GB,maximum application rate 270 mL/ha (equivalent to a maximum of 1.8 dt seeds per ha),N
AP01270,75,DE,maximaler Mittelaufwand 270 ml/ha (entsprechend maximal 1.8 dt Saatgut pro ha),N
UI,30,GB,directly after inocculation,N
UNMNB,30,GB,directly after flowering,N
UNMNC,30,GB,directly after felling,N
UNMNE,30,GB,directly after harvest,N
UNMNL,30,GB,directly after unfolding of leaves,N
UNMNP,30,GB,directly after potting or planting,N
UNMNT,30,GB,directly after planting,N
UNMST,30,GB,directly before planting,N
UNMVS,30,GB,directly before sowing,N
UNMVT,30,GB,directly before potting or planting,N
UNPNP,30,GB,directly after planting,N
UP,30,GB,directly before planting,N
US,30,GB,directly after sowing,N
USBI6,30,GB,to 6th-leaf-day of weed,N
US2-4,30,GB,on 2nd to 4th-leaf-day of weed,N
U0510,30,GB,on a weed stand of 5-10 cm height,N
AP01029,75,DE,maximaler Mittelaufwand 29 ml/ha (entsprechend maximal 5 kg Saatgut pro ha),N
U2325,30,GB,at weed stages 23-25,N
VA,30,GB,before emergence,N
VANLT,30,GB,before training,N
VAUNK,30,GB,before emergence of weeds,N
VA1,30,GB,before emergence (1st treatment),N
VB,30,GB,before flowering,N
VBBXX,30,GB,before berry flowering,N
VBESP,30,GB,before stringing,N
VBE1F,30,GB,before beginning of the flight of butterflies of the 1st generation,N
VBOXX,30,GB,before soil tillage,N
VBPFL,30,GB,before planting or during planting,N
VD,30,GB,before boring in,N
VDNGE,30,GB,before the first exploitation,N
VDNG7,30,GB,7 days before the first exploitation,N
VDRHS,30,GB,before row closing,N
VDSKK,30,GB,before desiccation,N
VDSWE,30,GB,before emergence from winter eggs,N
VDT24,30,GB,24 hours before forced cultivation,N
VDWOL,30,GB,before wool formation,N
VE,30,GB,before harvest,N
VE07D,30,GB,7 days before harvest,N
P306+P360,71,GB,IF ON CLOTHING: rinse immediately contaminated clothing and skin with plenty of water before removing clothes.,N
P307,71,GB,IF exposed:,J
P307+P311,71,GB,IF exposed or concerned: Call a POISON CENTER/doctor/...,J
P308,71,GB,IF exposed or concerned:,N
PHOPVI_2,947,VA,Phomopsis viticola,J
SEPTSP,947,GB,septoria-species (Septoria spp.),N
SEPTAP,947,GB,leaf spot (Septoria apiicola),N
SEPTAP,947,VA,Septoria apiicola,N
SEPTLM,947,GB,leaf spot of potatoe (Septoria lycopersici),N
SEPTLM,947,VA,Septoria lycopersici,N
SEPTTR_1,947,GB,leaf blotch (Septoria tritici),J
SEPTTR_1,947,VA,Septoria tritici,J
RHIZSO_1,947,GB,stem rot of potato (Rhizoctonia solani),N
RHIZSO_1,947,VA,Rhizoctonia solani,N
RHIZSO_2,947,VA,Rhizoctonia solani,N
RHIZSO_3,947,VA,Rhizoctonia solani,N
SCLOCE_1,947,GB,white rot of onion (Sclerotium cepivorum),N
SCLOCE_2,947,VA,Sclerotium cepivorum,N
TYPHIN,947,GB,"typhula rot (Typhula incarnata), snow rot of cereals",N
CYLDSC_1,947,VA,Cylindrocladium scoparium,N
CYLDSC_3,947,VA,Cylindrocladium scoparium,N
ALTEBA,947,GB,Alternaria brassicae,N
ALTEBA_1,947,GB,black spot of rape (Alternaria brassicae),N
ALTEBA_1,947,VA,Alternaria brassicae,N
ALTEDA,947,GB,blight of carrot (Alternaria dauci),N
ALTERP,947,GB,leaf spot of radish (Alternaria raphani),N
ALTERP,947,VA,Alternaria raphani,N
ALTESO,947,GB,early blight (Alternaria solani),N
ALTESO_1,947,GB,early blight (Alternaria solani),N
ALTESP,947,GB,Alternaria species (Alternaria spp.),N
CERCBE,947,GB,leaf spot (Cercospora beticola),N
CERCBE_1,947,GB,leaf spot (Cercospora beticola),N
CLADAP,947,VA,Cladosporium allii,N
AT2315,75,DE,im Splittingverfahren (5 Behandlungen),N
E12H,28,DE,Einwirkungsdauer: 12 Stunden,N
A03M,28,DE,Anwendungsdauer: 3 Minuten,N
AT2032,75,DE,flache Einarbeitung (5 - 8 cm Bodentiefe),N
A16H,28,DE,Anwendungsdauer: 16 Stunden,N
A48H,28,DE,Anwendungsdauer: 48 Stunden,N
YTRLO,947,DE,Lockerung des Traubenstielgerüstes,N
FTRLO,36,DE,zur vorbeugenden Behandlung gegen Essigfäule und Botrytis cinerea,N
VH356,74,DE,Der Gehalt an Chloral im technischen Wirkstoff Dichlorvos darf 5 g/kg nicht überschreiten.,N
VH356,74,GB,The content of chloral in the technical active substance dichlorvos may not exceed 5 g/kg.,N
HELMIN,947,VA,Helminthosporium,J
DRECHS,947,VA,Drechslera,N
COCHSA_1,947,GB,Helminthosporium sorokinianum,J
HELMSO_1,947,GB,silver scurf of potato (Helminthosporium solani),N
HELMSO_1,947,VA,Helminthosporium solani,N
HELMSP,947,GB,Helminthosporium-species,N
FULVFU,947,GB,leaf mould (Fulvia fulva),N
STIGCA,947,GB,gumspot of stone fruit (Stigmina carpophila),N
BOTRCI,947,GB,grey mould (Botrytis cinerea),N
BOTRCI_1,947,GB,grey mould (Botrytis cinerea),N
BOTRCI_1,947,VA,Botrytis cinerea,N
BOTRCI_2,947,GB,grey mould (Botrytis cinerea),N
BOTRCI_2,947,VA,Botrytis cinerea,N
BOTRFA,947,GB,grey mould of broad bean (Botrytis fabae),N
BOTRFA_2,947,GB,chocolate spot of broad bean (Botrytis fabae),N
12,150,GB,"2 true leaves, leaf pairs or whorls unfolded",N
13,150,GB,"3 true leaves, leaf pairs or whorls unfolded",N
14,150,GB,"4 true leaves, leaf pairs or whorls unfolded",N
15,150,GB,"5 true leaves, leaf pairs or whorls unfolded",N
16,150,GB,"6 true leaves, leaf pairs or whorls unfolded",N
AT8540,75,DE,von Formköder,N
AT8550,75,DE,von Pastenköder,N
AT8560,75,DE,von schüttfähigen Streuködern (pulsed baiting),J
AT8561,75,DE,von schüttfähigen Streuködern,N
AT8562,75,DE,zur Selbstherstellung schüttfähiger Streuköder,N
AT8570,75,DE,Köderflüssigkeit,N
AT8571,75,DE,als Kontaktflüssigkeit in spezieller Durchlaufstation,J
AT8610,75,DE,geeigneten Köder vor Gebrauch zumischen,N
AT8620,75,DE,Ködermischung mit dem Schermauspflug ausbringen,N
AT8630,75,DE,Giftköder von Hand oder mit dem Schermauspflug ausbringen,N
AT8650,75,DE,in Nester und auf Laufwege,N
AT8651,75,DE,auf Nester und Laufwege,N
AT8652,75,DE,in die Eingänge der Nester,N
AT8659,75,DE,in Löcher (ca. 30 g/Loch) und auf Laufwege,N
AT8660,75,DE,an Einschlupflöchern und auf Laufwegen,N
AT8661,75,DE,in Rattenlöcher einbringen oder auf Rattenwechsel streuen,N
AT8700,75,DE,in geeigneten Köderstationen,N
AT8750,75,DE,bis keine Annahme mehr erfolgt,N
AT8770,75,DE,Die Annahme ist nicht immer gewährleistet,N
AT8810,75,DE,"ausbringen, bis keine Laufspuren mehr erkennbar sind",N
AT8811,75,DE,um die befallene Fläche herum,N
AT8820,75,DE,ausbringen bis zur Tilgung,N
HT121,74,DE,"Für den Haus- und Kleingartenbereich entfällt die Kennzeichnungsauflage ST121: ""Partikelfiltrierende Halbmaske DIN EN 149 FFP2 oder Halbmaske DIN 58 646 -HM mit Partikelfilter P2 DIN EN 143 (Kennfarbe: weiß) tragen bei der Ausbringung/Handhabung des anwendungsfertigen Mittels in geschlossenen Räumen.""",J
NPZHT,35,DE,Nur hartlaubige Arten,N
BF15,28,DE,"bei niedrigem Befall, Besatz bzw. Infektionsdruck",N
CUUTX,948,GB,ornamental gourds,N
Z01,27,DE,"mit 25,7 g Mittel/Einheit hergestelltes Saatgut ausbringen, Einzelkornablage (1 Einheit = 100.000 Pillen)",J
Z02,27,DE,"mit 27,5 g Mittel/Einheit hergestelltes Saatgut ausbringen, Einzelkornablage (1 Einheit = 100.000 Pillen)",J
Z03,27,DE,"mit 130 g Mittel/Einheit hergestelltes Saatgut ausbringen, Einzelkornablage",J
Z09,27,DE,"mit 8,5 g Wirkstoff/Einheit hergestelltes Saatgut ausbringen, Einzelkornablage",J
Z12,27,DE,"mit 12 g Wirkstoff/Einheit hergestelltes Saatgut ausbringen, Einzelkornablage",J
Z30,27,DE,mit 30 g Wirkstoff/Einheit Saatgut pillieren,J
Z40,27,DE,"mit 40 g Wirkstoff/Einheit hergestelltes Saatgut ausbringen, Einzelkornablage",J
ZPS,27,DE,pilliertes Saatgut,J
NHK,27,DE,heiß- oder kaltnebeln,N
AT0001,75,DE,Flächenbehandlung,N
AT0002,75,DE,Flächen- oder Einzelpflanzenbehandlung,N
AT0010,75,DE,zur Teilflächenbehandlung,N
AT0020,75,DE,Bandbehandlung,N
AT0021,75,DE,Bandbehandlung (25-30 cm),N
AT0030,75,DE,Reihenbehandlung,N
AT0031,75,DE,spritzen als Reihenbehandlung,N
AT0032,75,DE,mit 2. Anwendung als Reihenbehandlung,N
AT0033,75,DE,Reihen- oder Einzelpflanzenbehandlung,N
AT0034,75,DE,als Saatreihenbehandlung mit Erdabdeckung,N
AT0035,75,DE,in Saatrille mit Bodenabdeckung,N
AT0050,75,DE,Zwischenreihenbehandlung,N
AT0060,75,DE,Horstbehandlung,N
NG412,74,DE,"Zwischen behandelten Flächen mit einer Hangneigung von über 2 % und Oberflächengewässern - ausgenommen nur gelegentlich wasserführender, aber einschließlich periodisch wasserführender - muss ein mit einer geschlossenen Pflanzendecke bewachsener Randstreifen vorhanden sein. Dessen Schutzfunktion darf durch den Einsatz von Arbeitsgeräten nicht beeinträchtigt werden. Er muss eine Mindestbreite von 5 m haben. Dieser Randstreifen ist nicht erforderlich, wenn: - ausreichende Auffangsysteme für das abgeschwemmte Wasser bzw. den abgeschwemmten Boden vorhanden sind, die nicht in ein Oberflächengewässer münden, bzw. mit der Kanalisation verbunden sind oder - die Anwendung im Mulch- oder Direktsaatverfahren erfolgt.",N
ST500,74,GB,"Wear respiratory equipment which does not rely on recirculated air when making/handling the product.
",N
KO0245,75,GB,for grazing or cutting,N
KO0246,75,GB,in mixed cultures,N
PHYLBL,947,VA,Phyllonorycter blancardella,N
NEPTMA,947,VA,Stigmella malella,N
MALANE,947,VA,Malacosoma neustria,N
CACOPO,947,VA,Archips podana,N
PANDHE,947,VA,Pandemis heparana,N
TMETOC,947,VA,Tmetocera ocellana,N
LYMAD,947,VA,Lymantria dispar,N
BYTUTO,947,VA,Byturus tomentosus,N
ARGESP,947,VA,Arge spp.,N
BLENPU,947,VA,Blennocampa pusilla,N
ERICAE,947,VA,Endelomyia aethiops,N
PRISAL,947,VA,Pristiphora alnivora,N
ARGYTH,947,VA,Argyresthia thuiella,N
GRACAZ,947,VA,Caloptilia azaleella,N
GRACSY,947,VA,Caloptilia syringella,N
ACALSC,947,VA,Acleris latifasciana,N
CACORO,947,VA,Archips rosana,N
CRIELI,947,VA,Lilioceris lilii,N
LIRITR,947,VA,Liriomyza trifolii,N
PHYYAT,947,VA,Chromatomyia horticula,N
PHYXIC,947,VA,Phytomyza ilicis,N
BARASP,947,VA,Mamestra spp.,N
CNESPA,947,VA,Cnephasiella pasivana,N
CACOCO,947,VA,Clepsis spectrana,N
MELOHI,947,VA,Melolontha hippocastani,N
MELOME,947,VA,Melolontha melolontha,N
PERESH,947,VA,Peritelus griseus,N
TANYPA,947,VA,Tanymecus palliatus,N
HF149,74,DE,"Für den Haus- und Kleingartenbereich entfällt die Kennzeichnungsauflage SF149: ""Gewächshäuser/geschlossene Räume sind vor dem Wiederbertreten gründlich zu lüften"".",J
PODOSP,947,DE,Podosphaera,N
PODOSP,947,VA,Podosphaera,N
PODOTR,947,DE,Echter Mehltau (Podosphaera tridactyla),N
PODOTR,947,VA,Podosphaera tridactyla,N
PODOTR,947,GB,powdery mildew of apricot (Podosphaera tridactyla),N
DH001,74,DE,RSh 1: Giftig bei Kontakt mit den Augen.,N
DH002,74,DE,RSh 2: Sensibilisierung durch Licht möglich.,N
DH003,74,DE,RSh 3: Kontakt mit Dämpfen verursacht Verätzungen an Haut und Augen und Kontakt mit der Flüssigkeit verursacht Erfrierungen.,N
EO001,74,DE,SPo 1: Nach Kontakt mit der Haut zuerst das Mittel mit einem trockenen Tuch entfernen und dann die Haut mit reichlich Wasser abspülen.,N
EO002,74,DE,SPo 2: Die gesamte Schutzkleidung muss nach Gebrauch gewaschen werden.,N
EO003,74,DE,SPo 3: Nach Anzünden des Mittels Rauch nicht einatmen und die behandelte Fläche sofort verlassen.,N
EO004,74,DE,SPo 4: Der Behälter muss im Freien und Trockenen geöffnet werden.,N
EB001,74,DE,SP 1: Mittel und/und dessen Behälter nicht in Gewässer gelangen lassen. (Ausbringungsgeräte nicht in unmittelbarer Nähe von Oberflächengewässern reinigen/Indirekte Einträge über Hof- und Strassenabläufe verhindern.),J
SF150,74,GB,"The store may not be entered until the fumigation manager has given his consent. The provisions in conformity with 'TRGS 900' (""Maximum limits in the air at work"") must be observed.",N
SF609,74,GB,"When handling dressed seeds, general-purpose protective gloves, a standard protective suit (plant protection), and a particle-filtering half mask DIN EN 149 FFP2 or a half mask DIN 58646-HM with particle filter P2 DIN EN 143 (identification colour: white) must be worn.",J
NH762,74,GB,A cress test must be performed before sowing/planting.,N
NW706,74,GB,"Between treated areas which have an incline of more than 2 % and surface waters - including periodically but excluding occasionally water-bearing surface waters- there must be a buffer zone under complete plant cover. The buffer zone's protective function must not be impaired by the use of implements. It must be at least 20 m wide. This buffer zone is not necessary if: -sufficient catching systems are available for the water and soil transported by run-off, which do not flow into surface water or are not connected with the urban drainage system or -the product is used for conservation or no-tillage methods.",N
NZ200,74,GB,Use only with the consent of the designated national authority in accordance with § 34 PflSchG (German Plant Protection Act). Consent may only be given for use on a maximum of 5 % of state forest areas annually.,J
NZ210,74,GB,Use only with the consent of the designated national authority in accordance with § 34 PflSchG (German Plant Protection Act). Consent may only be given for use on a maximum of 10 % of state forest areas annually.,J
WA721,74,GB,"Use in particular for reducing the impact of mycotoxins, by controlling cases of ear-fusariose in cereals in endangered stands due to unsuitable preceding crops, soil tillage, choice of cultivar and weather conditions.",N
WH917,74,GB,"The instructions for use must include a list of crops which are protected well, less well and insufficiently by the product.",N
WP728,74,GB,Do not replant sugar beet two years in a row.,N
XG,25,GB,granules per kg,N
XL,25,GB,granules per L,N
C7,25,GB,mL/100 m² and per m crown height,N
LK,25,GB,L/100 m² and per m crown height,N
SO,25,GB,piece(s) per 30 m³,N
RA010,74,DE,Enthält Bentazon. Kann allergische Reaktionen hervorrufen.,J
RA010,74,GB,Contains bentazone. May produce allergic reaction.,J
VH352,74,GB,"For packaging sizes described in detail under the heading, 'This product is suitable for use in amateur gardening in accordance with § 15 (2) No 3 of the PflSchG' (German Plant Protection Act), the information provided for by § 20 (2) No 6 of the PflSchG may be printed on the instructions for use provided with the retail packaging as long as the contents do not exceed 125 ml. These instructions for use must ensure correct and proper use of the plant protection product. The receptacles and retail packaging must refer to the instructions for use enclosed.",J
VN405,74,GB,Crops which are used for fodder may only be grown in the spring after application.,N
BS,3,DE,Bahamas,N
KTR,235,DE,Transgen,J
BVA,235,DE,Vermehrungsanlage,J
BVB,235,DE,Vermehrungsbestände,J
ZVBNE,235,DE,Vor Blüte und nach Ernte,J
ZVA,235,DE,Vor dem Auflaufen,J
ZVT,235,DE,Vor dem Stechen,J
ZVB,235,DE,Vor der Blüte,N
ZVE,235,DE,Vor der Ernte,J
USTIAV,947,GB,loose smut of oat (Ustilago nuda f. sp. avenae),N
USTINH,947,GB,loose smut of barley (Ustilago nuda f. sp. hordei),N
USTINT,947,GB,wheat smut (Ustilago nuda f. sp. tritici),N
0,150,GB,"Germination, sprouting, bud development",N
01,150,GB,Beginning of seed imbibition; Beginning of bud swelling,N
03,150,GB,Seed imbibition complete; End of bud swelling,N
05,150,GB,Radicle (root) emerged from seed; Perennating organs forming roots,N
06,150,GB,"Elongation of radicle, formation of root hairs and/or lateral roots",N
MERPE,947,GB,dog's mercury,N
MEUSS,947,GB,sweet clover,N
MEUAL,947,GB,white sweet clover,N
MEUOF,947,GB,field melilot,N
OTGUM,947,GB,star of Bethlehem,N
OXACO,947,GB,sleeping beauty,N
OXAEU,947,GB,European woodsorrel,N
PAVSA,947,GB,wild parsnip,N
PEDHY,947,GB,butterbur,N
PLALA,947,GB,buckhorn plantain,N
PLAMA,947,GB,greater plantain,N
PLAME,947,GB,hoary plantain,N
AELISP,947,GB,Pentatomidae,N
NNNXA,947,GB,self-sown crops,N
ST1232,74,GB,"Wear particle-filtering half mask FFP2 or half mask with particle filter P2 (identification colour: white) according to the BVL guideline ""Personal protective equipment for handling plant protection products"", current version, when applying/handling the product ready for application in field crops.",N
ST1241,74,GB,"Wear particle-filtering half mask FFP2 or half mask with particle filter P2 (identification colour: white) according to the BVL guideline ""Personal protective equipment for handling plant protection products"", current version, when applying/handling the product ready for application in bush and tree cultures with trailed equipment.",N
ST1251,74,GB,"Wear particle-filtering half mask FFP2 or half mask with particle filter P2 (identification colour: white)  according to the BVL guideline ""Personal protective equipment for handling plant protection products"", current version, when applying/handling the product ready for application in bush and tree cultures with operator-carried equipment.",N
ST1261,74,GB,"Wear particle-filtering half mask FFP2 or half mask with particle filter P2 (identification colour: white)  according to the BVL guideline ""Personal protective equipment for handling plant protection products"", current version, when bagging the seeds.",N
ST1271,74,GB,"Wear particle-filtering half mask FFP2 or half mask with particle filter P2 (identification colour: white) according to the BVL guideline ""Personal protective equipment for handling plant protection products"", current version, when cleaning the seed-dressing equipment.",N
ST1303,74,GB,"Wear particle-filtering half mask FFP2 or half mask with particle filter P2 (identification colour: white) according to the BVL guideline ""Personal protective equipment for handling plant protection products"", current version, when filling and decanting the product.",N
ST2042,74,GB,"Wear half mask with combination filter A1-P2 (identification colour: brown/white) according to the BVL guideline ""Personal protective equipment for handling plant protection products"", current version, for application in forestry against bark beetles.",N
ST2102,74,GB,"Wear half mask with combination filter A1-P2 (identification colour: brown/white) according to the BVL guideline ""Personal protective equipment for handling plant protection products"", current version, when handling the undiluted product.",N
ST2112,74,GB,"Wear half mask with combination filter A1-P2 (identification colour: brown/white) according to the BVL guideline ""Personal protective equipment for handling plant protection products"", current version, when handling the undiluted product in closed rooms.",N
ST2122,74,GB,"Wear half mask with combination filter A1-P2 (identification colour: brown/white) according to the BVL guideline ""Personal protective equipment for handling plant protection products"", current version, when handling the undiluted product in bush and tree cultures.",N
VH388,74,DE,"Im technischen Konzentrat Deiquatdibromid darf der Gehalt an 1,2-Dibromethan 10 mg/kg nicht überschreiten.
",N
AP00020,75,DE,Aufwand in Abhängigkeit vom Entwicklungsstadium der Pflanze,N
SE041,75,GB,for reducing feeding on fruit,N
RA145,74,DE,Enthält Methenamin. Kann allergische Reaktionen hervorrufen.,J
RA145,74,GB,Contains methenamine. May produce allergic reactions.,J
AP07501,75,DE,maximaler Mittelaufwand für die vorgesehene Kultur pro Jahr 2 l/ha,N
AP07501,75,GB,maximum application rate for the intended crop per year 2 L/ha,N
SF194,74,DE,Beim Wiederbetreten der behandelten Raumkulturen sind am Tage der Applikation der Schutzanzug gegen Pflanzenschutzmittel und Universal-Schutzhandschuhe (Pflanzenschutz) zu tragen. Nachfolgearbeiten auf/in den oben genannten Kulturen dürfen grundsätzlich erst 24 Stunden nach der Ausbringung des Mittels durchgeführt werden. Innerhalb von einer Woche sind dabei der Schutzanzug gegen Pflanzenschutzmittel und Universal-Schutzhandschuhe (Pflanzenschutz) zu tragen.,J
P315,71,DE,Sofort ärztlichen Rat einholen/ärztliche Hilfe hinzuziehen.,N
P320,71,DE,Besondere Behandlung dringend erforderlich (siehe ... auf diesem Kennzeichnungsetikett).,N
P321,71,DE,Besondere Behandlung (siehe ... auf diesem Kennzeichnungsetikett).,N
P322,71,DE,Gezielte Maßnahmen (siehe ... auf diesem Kennzeichnungsetikett).,J
P330,71,DE,Mund ausspülen.,N
P331,71,DE,KEIN Erbrechen herbeiführen.,N
P332,71,DE,Bei Hautreizung:,N
P332+P313,71,DE,Bei Hautreizung: Ärztlichen Rat einholen/ärztliche Hilfe hinzuziehen.,N
P333,71,DE,Bei Hautreizung oder -ausschlag:,N
P333+P313,71,DE,Bei Hautreizung oder -ausschlag: Ärztlichen Rat einholen/ärztliche Hilfe hinzuziehen.,N
P334,71,DE,In kaltes Wasser tauchen [oder nassen Verband anlegen].,N
P335,71,DE,Lose Partikel von der Haut abbürsten.,N
P335+P334,71,DE,Lose Partikel von der Haut abbürsten. In kaltes Wasser tauchen/ nassen Verband anlegen.,J
P336,71,DE,Vereiste Bereiche mit lauwarmem Wasser auftauen. Betroffenen Bereich nicht reiben.,N
P337,71,DE,Bei anhaltender Augenreizung:,N
P337+P313,71,DE,Bei anhaltender Augenreizung: Ärztlichen Rat einholen/ärztliche Hilfe hinzuziehen.,N
P338,71,DE,Eventuell Vorhandene Kontaktlinsen nach Möglichkeit entfernen. Weiter ausspülen.,N
P340,71,DE,Die Person an die frische Luft bringen und für ungehinderte Atmung sorgen.,N
P341,71,DE,"Bei Atembeschwerden an die frische Luft bringen und in einer Position ruhigstellen, die das Atmen erleichtert.",N
P342,71,DE,Bei Symptomen der Atemwege:,N
P342+P311,71,DE,Bei Symptomen der Atemwege: GIFTINFORMATIONSZENTRUM/Arzt/... anrufen.,N
P350,71,DE,Behutsam mit viel Wasser und Seife waschen.,J
P351,71,DE,Einige Minuten lang behutsam mit Wasser ausspülen.,N
P352,71,DE,Mit viel Wasser/ ... waschen.,N
P353,71,DE,Haut mit Wasser abwaschen [oder duschen].,N
P360,71,DE,Kontaminierte Kleidung und Haut sofort mit viel Wasser abwaschen und danach Kleidung ausziehen.,N
P361,71,DE,Alle kontaminierten Kleidungsstücke sofort ausziehen.,N
P362,71,DE,Kontaminierte Kleidung ausziehen.,N
P363,71,DE,Kontaminierte Kleidung vor erneutem Tragen waschen.,N
P370,71,DE,Bei Brand:,N
P370+P376,71,DE,"Bei Brand: Undichtigkeit beseitigen, wenn gefahrlos möglich.",N
P370+P378,71,DE,Bei Brand: ... zum Löschen verwenden.,N
EUH 210,70,DE,Sicherheitsdatenblatt auf Anfrage erhältlich.,N
EUH 401,70,DE,Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.,N
H200,70,DE,"Instabil, explosiv",N
H201,70,DE,"Explosiv, Gefahr der Massenexplosion.",N
H202,70,DE,"Explosiv; große Gefahr durch Splitter, Spreng- und Wurfstücke.",N
H203,70,DE,"Explosiv; Gefahr durch Feuer, Luftdruck oder Splitter, Spreng- und Wurfstücke.",N
H204,70,DE,"Gefahr durch Feuer oder Splitter, Spreng- und Wurfstücke.",N
H205,70,DE,Gefahr der Massenexplosion bei Feuer.,N
H220,70,DE,Extrem entzündbares Gas.,N
H221,70,DE,Entzündbares Gas.,N
H222,70,DE,Extrem entzündbares Aerosol.,N
H223,70,DE,Entzündbares Aerosol.,N
H224,70,DE,Flüssigkeit und Dampf extrem entzündbar.,N
