m_row$$,awg_id,kultur,ausgenommen,sortier_nr
AAAxb2AAEAAADQoAAK,043743-64/00-076,NNNLG,N,1.0
AAAxb2AAEAAADQoAAL,043743-65/00-076,NNNLG,N,1.0
AAAxb2AAEAAADQoAAM,043743-66/00-076,NNNLG,N,1.0
AAAxb2AAEAAADQoAAN,043743-67/00-076,NNNLG,N,1.0
AAAxb2AAEAAADQoAAO,043743-68/00-076,NNNLG,N,1.0
AAAxb2AAEAAADQoAAP,043743-69/00-076,NNNLG,N,1.0
AAAxb2AAEAAADQoAAQ,043743-61/00-077,NNNVS,N,1.0
AAAxb2AAEAAADQoAAR,043743-62/00-077,NNNVS,N,1.0
AAAxb2AAEAAADQoAAS,043743-63/00-077,NNNVS,N,1.0
AAAxb2AAEAAADQoAAT,043743-64/00-077,NNNVS,N,1.0
AAAxb2AAEAAADQoAAU,043743-65/00-077,NNNVS,N,1.0
AAAxb2AAEAAADQoAAV,043743-66/00-077,NNNVS,N,1.0
AAAxb2AAEAAADQoAAW,043743-67/00-077,NNNVS,N,1.0
AAAxb2AAEAAADQoAAX,043743-68/00-077,NNNVS,N,1.0
AAAxb2AAEAAADQoAAY,043743-69/00-077,NNNVS,N,1.0
AAAxb2AAEAAADQoAAZ,043743-61/00-078,NNNVS,N,1.0
AAAxb2AAEAAADQoAAa,043743-62/00-078,NNNVS,N,1.0
AAAxb2AAEAAADQoAAb,043743-63/00-078,NNNVS,N,1.0
AAAxb2AAEAAADQoAAc,043743-64/00-078,NNNVS,N,1.0
AAAxb2AAEAAADQoAAd,043743-65/00-078,NNNVS,N,1.0
AAAxb2AAEAAADQoAAe,043743-66/00-078,NNNVS,N,1.0
AAAxb2AAEAAADQoAAf,043743-67/00-078,NNNVS,N,1.0
AAAxb2AAEAAADQoAAg,043743-68/00-078,NNNVS,N,1.0
AAAxb2AAEAAADQoAAh,043743-69/00-078,NNNVS,N,1.0
AAAxb2AAEAAADQoAAi,043743-61/00-079,NNNVS,N,1.0
AAAxb2AAEAAADQoAAj,043743-62/00-079,NNNVS,N,1.0
AAAxb2AAEAAADQoAAk,043743-63/00-079,NNNVS,N,1.0
AAAxb2AAEAAADQoAAl,043743-64/00-079,NNNVS,N,1.0
AAAxb2AAEAAADQoAAm,043743-65/00-079,NNNVS,N,1.0
AAAxb2AAEAAADQoAAn,043743-66/00-079,NNNVS,N,1.0
AAAxb2AAEAAADQoAAo,043743-67/00-079,NNNVS,N,1.0
AAAxb2AAEAAADQoAAp,043743-68/00-079,NNNVS,N,1.0
AAAxb2AAEAAADQoAAq,043743-69/00-079,NNNVS,N,1.0
AAAxb2AAEAAADQoAAr,043743-61/00-080,NNNVS,N,1.0
AAAxb2AAEAAADQoAAs,043743-62/00-080,NNNVS,N,1.0
AAAxb2AAEAAADQoAAt,043743-63/00-080,NNNVS,N,1.0
AAAxb2AAEAAADQoAAu,043743-64/00-080,NNNVS,N,1.0
AAAxb2AAEAAADQoAAv,043743-65/00-080,NNNVS,N,1.0
AAAxb2AAEAAADQoAAw,043743-66/00-080,NNNVS,N,1.0
AAAxb2AAEAAADQoAAx,043743-67/00-080,NNNVS,N,1.0
AAAxb2AAEAAADQoAAy,043743-68/00-080,NNNVS,N,1.0
AAAxb2AAEAAADQoAAz,043743-69/00-080,NNNVS,N,1.0
AAAxb2AAEAAADQoAA0,043743-61/00-081,NNNSZ,N,1.0
AAAxb2AAEAAADQoAA1,043743-62/00-081,NNNSZ,N,1.0
AAAxb2AAEAAADQoAA2,043743-63/00-081,NNNSZ,N,1.0
AAAxb2AAEAAADQoAA3,043743-64/00-081,NNNSZ,N,1.0
AAAxb2AAEAAADQoAA4,043743-65/00-081,NNNSZ,N,1.0
AAAxb2AAEAAADQoAA5,043743-66/00-081,NNNSZ,N,1.0
AAAxb2AAEAAADQoAA6,043743-67/00-081,NNNSZ,N,1.0
AAAxb2AAEAAADQoAA7,043743-68/00-081,NNNSZ,N,1.0
AAAxb2AAEAAADQoAA8,043743-69/00-081,NNNSZ,N,1.0
AAAxb2AAEAAADQoAA9,043743-61/00-082,NNNSZ,N,1.0
AAAxb2AAEAAADQoAA+,043743-62/00-082,NNNSZ,N,1.0
AAAxb2AAEAAADQoAA/,043743-63/00-082,NNNSZ,N,1.0
AAAxb2AAEAAADQoABA,043743-64/00-082,NNNSZ,N,1.0
AAAxb2AAEAAADQoABB,043743-65/00-082,NNNSZ,N,1.0
AAAxb2AAEAAADQoABC,043743-66/00-082,NNNSZ,N,1.0
AAAxb2AAEAAADQoABD,043743-67/00-082,NNNSZ,N,1.0
AAAxb2AAEAAADQoABE,043743-68/00-082,NNNSZ,N,1.0
AAAxb2AAEAAADQoABF,043743-69/00-082,NNNSZ,N,1.0
AAAxb2AAEAAADQoABG,043743-61/00-083,NNNSZ,N,1.0
AAAxb2AAEAAADQoABH,043743-62/00-083,NNNSZ,N,1.0
AAAxb2AAEAAADQoABI,043743-63/00-083,NNNSZ,N,1.0
AAAxb2AAEAAADQoABJ,043743-64/00-083,NNNSZ,N,1.0
AAAxb2AAEAAADQoABK,043743-65/00-083,NNNSZ,N,1.0
AAAxb2AAEAAADQoABL,043743-66/00-083,NNNSZ,N,1.0
AAAxb2AAEAAADQoABM,043743-67/00-083,NNNSZ,N,1.0
AAAxb2AAEAAADQoABN,043743-68/00-083,NNNSZ,N,1.0
AAAxb2AAEAAADQoABO,043743-69/00-083,NNNSZ,N,1.0
AAAxb2AAEAAADQoABP,043743-61/00-084,NNNSZ,N,1.0
AAAxb2AAEAAADQoABQ,043743-62/00-084,NNNSZ,N,1.0
AAAxb2AAEAAADQoABR,043743-63/00-084,NNNSZ,N,1.0
AAAxb2AAEAAADQoABS,043743-64/00-084,NNNSZ,N,1.0
AAAxb2AAEAAADQoABT,043743-65/00-084,NNNSZ,N,1.0
AAAxb2AAEAAADQoABU,043743-66/00-084,NNNSZ,N,1.0
AAAxb2AAEAAADQoABV,043743-67/00-084,NNNSZ,N,1.0
AAAxb2AAEAAADQoABW,043743-68/00-084,NNNSZ,N,1.0
AAAxb2AAEAAADQoABX,043743-69/00-084,NNNSZ,N,1.0
AAAxb2AAEAAADQoABY,043743-61/00-085,NNNVW,N,1.0
AAAxb2AAEAAADQoABZ,043743-62/00-085,NNNVW,N,1.0
AAAxb2AAEAAADQoABa,043743-63/00-085,NNNVW,N,1.0
AAAxb2AAEAAADQoABb,043743-64/00-085,NNNVW,N,1.0
AAAxb2AAEAAADQoABc,043743-65/00-085,NNNVW,N,1.0
AAAxb2AAEAAADQoABd,043743-66/00-085,NNNVW,N,1.0
AAAxb2AAEAAADQoABe,043743-67/00-085,NNNVW,N,1.0
AAAxb2AAEAAADQoABf,043743-68/00-085,NNNVW,N,1.0
AAAxb2AAEAAADQoABg,043743-69/00-085,NNNVW,N,1.0
AAAxb2AAEAAADQoABh,043743-61/00-086,NNNVW,N,1.0
AAAxb2AAEAAADQoABi,043743-62/00-086,NNNVW,N,1.0
AAAxb2AAEAAADQoABj,043743-63/00-086,NNNVW,N,1.0
AAAxb2AAEAAADQoABk,043743-64/00-086,NNNVW,N,1.0
AAAxb2AAEAAADQoABl,043743-65/00-086,NNNVW,N,1.0
AAAxb2AAEAAADQoABm,043743-66/00-086,NNNVW,N,1.0
AAAxb2AAEAAADQoABn,043743-67/00-086,NNNVW,N,1.0
AAAxb2AAEAAADQoABo,043743-68/00-086,NNNVW,N,1.0
AAAxb2AAEAAADQoABp,043743-69/00-086,NNNVW,N,1.0
AAAxb2AAEAAADQoABq,043743-61/00-087,NNNVW,N,1.0
AAAxb2AAEAAADQoABr,043743-62/00-087,NNNVW,N,1.0
AAAxb2AAEAAADQoABs,043743-63/00-087,NNNVW,N,1.0
AAAxb2AAEAAADQoABt,043743-64/00-087,NNNVW,N,1.0
AAAxb2AAEAAADQoABu,043743-65/00-087,NNNVW,N,1.0
AAAxb2AAEAAADQoABv,043743-66/00-087,NNNVW,N,1.0
AAAxb2AAEAAADQoABw,043743-67/00-087,NNNVW,N,1.0
AAAxb2AAEAAADR+ACG,060122-63/00-002,NNNZW,N,1.0
AAAxb2AAEAAADR+ACH,060122-64/00-002,NNNZW,N,1.0
AAAxb2AAEAAADR+ACI,060122-65/00-002,NNNZW,N,1.0
